# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EElowR9scale        0.0000     0.0029     0.0003    
EElowR9smear        0.0000     0.0030     0.0003    
EEhighR9scale       0.0004     0.0029     0.0005    
EEhighR9smear       0.0000     0.0121     0.0003    

diphotonCat=3
proc=ggh
EBlowR9scale        0.0006     0.0047     0.0015    
EBlowR9smear        0.0000     0.0340     0.0011    
EBhighR9scale       0.0017     0.0122     0.0005    
EBhighR9smear       0.0000     0.0697     0.0008    
EElowR9scale        0.0000     0.0003     0.0001    
EElowR9smear        0.0000     0.0009     0.0001    
EEhighR9scale       0.0002     0.0022     0.0004    
EEhighR9smear       0.0000     0.0051     0.0001    

diphotonCat=3
proc=vbf
EBlowR9scale        0.0008     0.0093     0.0014    
EBlowR9smear        0.0000     0.0342     0.0011    
EBhighR9scale       0.0017     0.0111     0.0019    
EBhighR9smear       0.0001     0.0597     0.0012    
EElowR9scale        0.0000     0.0010     0.0004    
EElowR9smear        0.0000     0.0024     0.0003    
EEhighR9scale       0.0005     0.0085     0.0007    
EEhighR9smear       0.0000     0.0135     0.0004    

diphotonCat=3
proc=wh
EBlowR9scale        0.0008     0.0023     0.0012    
EBlowR9smear        0.0000     0.0407     0.0013    
EBhighR9scale       0.0017     0.0015     0.0012    
EBhighR9smear       0.0000     0.0651     0.0016    
EElowR9scale        0.0001     0.0012     0.0002    
EElowR9smear        0.0000     0.0036     0.0004    
EEhighR9scale       0.0007     0.0076     0.0015    
EEhighR9smear       0.0000     0.0217     0.0006    

diphotonCat=3
proc=zh
EBlowR9scale        0.0009     0.0115     0.0016    
EBlowR9smear        0.0001     0.0419     0.0023    
EBhighR9scale       0.0017     0.0179     0.0018    
EBhighR9smear       0.0000     0.0633     0.0010    
EElowR9scale        0.0001     0.0002     0.0004    
EElowR9smear        0.0000     0.0013     0.0002    
EEhighR9scale       0.0007     0.0204     0.0006    
EEhighR9smear       0.0000     0.0220     0.0005    

diphotonCat=3
proc=tth
EBlowR9scale        0.0009     0.0071     0.0003    
EBlowR9smear        0.0000     0.0352     0.0016    
EBhighR9scale       0.0016     0.0114     0.0007    
EBhighR9smear       0.0000     0.0660     0.0002    
EElowR9scale        0.0001     0.0017     0.0008    
EElowR9smear        0.0000     0.0032     0.0002    
EEhighR9scale       0.0007     0.0134     0.0008    
EEhighR9smear       0.0000     0.0175     0.0004    

diphotonCat=4
proc=ggh
EBlowR9scale        0.0011     0.0028     0.0005    
EBlowR9smear        0.0000     0.0355     0.0013    
EBhighR9scale       0.0015     0.0058     0.0000    
EBhighR9smear       0.0000     0.0275     0.0002    
EElowR9scale        0.0001     0.0008     0.0004    
EElowR9smear        0.0000     0.0036     0.0002    
EEhighR9scale       0.0011     0.0059     0.0011    
EEhighR9smear       0.0000     0.0240     0.0007    

diphotonCat=4
proc=vbf
EBlowR9scale        0.0011     0.0065     0.0005    
EBlowR9smear        0.0000     0.0316     0.0004    
EBhighR9scale       0.0013     0.0034     0.0006    
EBhighR9smear       0.0000     0.0273     0.0006    
EElowR9scale        0.0003     0.0024     0.0008    
EElowR9smear        0.0000     0.0086     0.0002    
EEhighR9scale       0.0018     0.0109     0.0018    
EEhighR9smear       0.0000     0.0372     0.0010    

diphotonCat=4
proc=wh
EBlowR9scale        0.0010     0.0012     0.0013    
EBlowR9smear        0.0000     0.0290     0.0006    
EBhighR9scale       0.0012     0.0024     0.0005    
EBhighR9smear       0.0000     0.0265     0.0009    
EElowR9scale        0.0003     0.0027     0.0003    
EElowR9smear        0.0000     0.0057     0.0002    
EEhighR9scale       0.0022     0.0129     0.0006    
EEhighR9smear       0.0000     0.0463     0.0011    

diphotonCat=4
proc=zh
EBlowR9scale        0.0010     0.0029     0.0007    
EBlowR9smear        0.0001     0.0289     0.0015    
EBhighR9scale       0.0012     0.0055     0.0009    
EBhighR9smear       0.0000     0.0245     0.0006    
EElowR9scale        0.0003     0.0023     0.0008    
EElowR9smear        0.0000     0.0104     0.0006    
EEhighR9scale       0.0022     0.0122     0.0008    
EEhighR9smear       0.0000     0.0408     0.0006    

diphotonCat=4
proc=tth
EBlowR9scale        0.0011     0.0113     0.0015    
EBlowR9smear        0.0000     0.0408     0.0007    
EBhighR9scale       0.0013     0.0172     0.0013    
EBhighR9smear       0.0000     0.0373     0.0003    
EElowR9scale        0.0003     0.0010     0.0015    
EElowR9smear        0.0000     0.0074     0.0002    
EEhighR9scale       0.0014     0.0191     0.0017    
EEhighR9smear       0.0000     0.0421     0.0005    

diphotonCat=5
proc=ggh
EBlowR9scale        0.0007     0.0090     0.0002    
EBlowR9smear        0.0001     0.0252     0.0000    
EBhighR9scale       0.0017     0.0408     0.0113    
EBhighR9smear       0.0001     0.1143     0.0040    
EElowR9scale        0.0000     0.0048     0.0079    
EElowR9smear        0.0000     0.0024     0.0039    
EEhighR9scale       0.0002     0.0188     0.0079    
EEhighR9smear       0.0001     0.0226     0.0041    

diphotonCat=5
proc=vbf
EBlowR9scale        0.0008     0.0036     0.0013    
EBlowR9smear        0.0000     0.0405     0.0010    
EBhighR9scale       0.0017     0.0100     0.0024    
EBhighR9smear       0.0000     0.0619     0.0015    
EElowR9scale        0.0001     0.0007     0.0003    
EElowR9smear        0.0000     0.0012     0.0003    
EEhighR9scale       0.0004     0.0050     0.0014    
EEhighR9smear       0.0000     0.0082     0.0007    

diphotonCat=5
proc=wh
EBlowR9scale        0.0006     0.0241     0.0000    
EBlowR9smear        0.0002     0.0123     0.0181    
EBhighR9scale       0.0021     0.0398     0.0353    
EBhighR9smear       0.0005     0.0556     0.0353    
EElowR9scale        0.0001     0.0321     0.0000    
EElowR9smear        0.0000     0.0321     0.0000    
EEhighR9scale       0.0005     0.0009     0.0000    
EEhighR9smear       0.0001     0.0321     0.0000    

diphotonCat=5
proc=zh
EBlowR9scale        0.0004     0.0314     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0020     0.1280     0.0000    
EBhighR9smear       0.0008     0.0978     0.0534    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=5
proc=tth
EBlowR9scale        0.0007     0.0101     0.0049    
EBlowR9smear        0.0002     0.0861     0.0000    
EBhighR9scale       0.0021     0.0364     0.0094    
EBhighR9smear       0.0001     0.0847     0.0045    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=6
proc=ggh
EBlowR9scale        0.0010     0.0409     0.0098    
EBlowR9smear        0.0004     0.0245     0.0103    
EBhighR9scale       0.0014     0.0306     0.0253    
EBhighR9smear       0.0000     0.0616     0.0154    
EElowR9scale        0.0002     0.0085     0.0102    
EElowR9smear        0.0001     0.0068     0.0051    
EEhighR9scale       0.0011     0.0105     0.0165    
EEhighR9smear       0.0002     0.0389     0.0153    

diphotonCat=6
proc=vbf
EBlowR9scale        0.0010     0.0025     0.0020    
EBlowR9smear        0.0001     0.0329     0.0009    
EBhighR9scale       0.0015     0.0164     0.0036    
EBhighR9smear       0.0000     0.0404     0.0016    
EElowR9scale        0.0002     0.0006     0.0014    
EElowR9smear        0.0000     0.0094     0.0013    
EEhighR9scale       0.0011     0.0257     0.0015    
EEhighR9smear       0.0000     0.0327     0.0013    

diphotonCat=6
proc=wh
EBlowR9scale        0.0007     0.0273     0.0157    
EBlowR9smear        0.0007     0.0193     0.0012    
EBhighR9scale       0.0019     0.0459     0.0357    
