# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EBlowR9scale        0.0009     0.1504     0.0000    
EBlowR9smear        0.0004     0.0295     0.0000    
EBhighR9scale       0.0013     0.0327     0.0000    
EBhighR9smear       0.0002     0.0742     0.0000    
EElowR9scale        0.0001     0.0000     0.0000    
EElowR9smear        0.0001     0.0000     0.0000    
EEhighR9scale       0.0015     0.0000     0.0000    
EEhighR9smear       0.0006     0.0000     0.0000    

diphotonCat=12
proc=tth
EBlowR9scale        0.0009     0.0095     0.0003    
EBlowR9smear        0.0000     0.0408     0.0004    
EBhighR9scale       0.0016     0.0072     0.0005    
EBhighR9smear       0.0000     0.0757     0.0002    
EElowR9scale        0.0001     0.0008     0.0002    
EElowR9smear        0.0000     0.0035     0.0001    
EEhighR9scale       0.0006     0.0053     0.0003    
EEhighR9smear       0.0000     0.0142     0.0004    

diphotonCat=13
proc=ggh
EBlowR9scale        0.0009     0.0191     0.0000    
EBlowR9smear        0.0003     0.0487     0.0000    
EBhighR9scale       0.0015     0.0276     0.0000    
EBhighR9smear       0.0002     0.0722     0.0000    
EElowR9scale        0.0005     0.0166     0.0089    
EElowR9smear        0.0004     0.0166     0.0089    
EEhighR9scale       0.0010     0.0536     0.0000    
EEhighR9smear       0.0002     0.0694     0.0000    

diphotonCat=13
proc=vbf
EBlowR9scale        0.0009     0.0377     0.0000    
EBlowR9smear        0.0000     0.1238     0.0000    
EBhighR9scale       0.0015     0.0279     0.0000    
EBhighR9smear       0.0003     0.1005     0.0000    
EElowR9scale        0.0000     0.0222     0.0000    
EElowR9smear        0.0001     0.0365     0.0000    
EEhighR9scale       0.0012     0.0702     0.0000    
EEhighR9smear       0.0003     0.0629     0.0000    

diphotonCat=13
proc=wh
EBlowR9scale        0.0008     0.0059     0.0010    
EBlowR9smear        0.0001     0.0371     0.0017    
EBhighR9scale       0.0017     0.0064     0.0018    
EBhighR9smear       0.0000     0.0643     0.0011    
EElowR9scale        0.0000     0.0003     0.0017    
EElowR9smear        0.0000     0.0029     0.0004    
EEhighR9scale       0.0009     0.0212     0.0026    
EEhighR9smear       0.0000     0.0149     0.0004    

diphotonCat=13
proc=zh
EBlowR9scale        0.0009     0.0081     0.0014    
EBlowR9smear        0.0001     0.0359     0.0006    
EBhighR9scale       0.0017     0.0232     0.0020    
EBhighR9smear       0.0001     0.0633     0.0020    
EElowR9scale        0.0001     0.0033     0.0013    
EElowR9smear        0.0000     0.0045     0.0000    
EEhighR9scale       0.0008     0.0156     0.0024    
EEhighR9smear       0.0000     0.0184     0.0012    

diphotonCat=13
proc=tth
EBlowR9scale        0.0008     0.0133     0.0021    
EBlowR9smear        0.0001     0.0369     0.0015    
EBhighR9scale       0.0017     0.0137     0.0015    
EBhighR9smear       0.0000     0.0823     0.0015    
EElowR9scale        0.0001     0.0073     0.0015    
EElowR9smear        0.0000     0.0039     0.0015    
EEhighR9scale       0.0008     0.0137     0.0000    
EEhighR9smear       0.0000     0.0418     0.0000    

